pzpn_id,eyeball_id,home_away,opponent,date_time,Team,Number,Player name,Position,Rating,Minutes played,Goals,Goals own,Assists,Offsides,Shots,Freekicks,Corners,Throw in,Fouls,Yellow cards,Red cards,Shots on target,Blocked shots,Shots off target,Shots inside pa,Shots outside pa,Success Take-Ons,Total Take-Ons,Shot Conversion Rate,Success Tackles,Total Tackles,Success Aerial duels,Total Aerial duels,Success Ground duels,Total Ground duels,Interceptions,Recovery,Blocks,Mistakes,Fouls won,Success Passes,Total Passes,Pass accuracy,Key passes,Success Passes in final third,Total Passes in final third,Success Passes in middle third,Total Passes in middle third,Success Passes in defensive third,Total Passes in defensive third,Success Long passes,Total Long passes,Success Medium range passes,Total Medium range passes,Success Short passes,Total Short passes,Success Forward passes,Total Forward passes,Success Sideways passes,Total Sideways passes,Success Backward passes,Total Backward passes,Success Crosses,Total Crosses,Conceded goals,Catches,Parries & Blocks,Succesful goal kicks,All goal kicks,GK Interceptions Successful,GK Interceptions Total
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,10.0,Bartosz JAWORSKI,CF,6.9,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,3.0,Daniel LESNIEWSKI,LB,7.3,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0%,1.0,1.0,2.0,4.0,3.0,6.0,1.0,4.0,0.0,1.0,0.0,19.0,23.0,83.0,1.0,14.0,18.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,7.0,13.0,13.0,11.0,11.0,5.0,9.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,1.0,Dawid JANKOWSKI,GK,5.7,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,3.0,2.0,4.0,1.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,23.0,Michal STYCZEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,13.0,Franciszek BANAS,RM,7.3,72.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,100%,2.0,2.0,0.0,0.0,2.0,4.0,0.0,8.0,0.0,1.0,0.0,9.0,12.0,75.0,0.0,3.0,5.0,5.0,5.0,1.0,2.0,0.0,1.0,5.0,5.0,4.0,6.0,4.0,6.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,16.0,Bartosz PAWLAK,LM,6.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0%,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,43.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,18.0,Maciej SKROK,CF,8.5,48.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,33%,0.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,0.0,2.0,8.0,11.0,73.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,6.0,2.0,4.0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,15.0,Filip PIETRZAK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,25.0,Filip KEPSKI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,POLONIA WARSZAWA,14.0,Milan JAWOR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
